year,station_id,station_name,morning_entries,morning_exits,midday_entries,midday_exits,evening_entries,evening_exits,night_entries,night_exits,total_entries,total_exits,total_flow,morning_total_flow,midday_total_flow,evening_total_flow,night_total_flow,peak_total_flow,entry_exit_imbalance,bottleneck_score
2022,caringbah,Caringbah Station,920,490,430,360,610,810,170,290,2130,1950,4080,1410,790,1420,460,2830,180,0.6936274509803921
2022,carlingford,Carlingford Station,0,0,0,0,0,0,0,0,50,50,100,0,0,0,0,0,0,0.0
2022,carlton,Carlton Station,1010,100,370,260,250,880,170,440,1800,1680,3480,1110,630,1130,610,2240,120,0.6436781609195402
2022,carramar,Carramar Station,0,0,0,0,0,0,0,0,420,340,760,0,0,0,0,0,80,0.0
2022,castle_hill,Castle Hill Station,1000,1180,870,900,1640,1590,400,430,3910,4100,8010,2180,1770,3230,830,5410,-190,0.6754057428214731
2022,casula,Casula Station,0,0,0,0,0,0,0,0,260,210,470,0,0,0,0,0,50,0.0
2022,central,Central Station,6820,25640,11240,14230,26390,13280,13430,6570,57880,59720,117600,32460,25470,39670,20000,72130,-1840,0.6133503401360544
2022,chatswood,Chatswood Station,3660,6440,4170,4700,8590,6500,2880,2320,19300,19960,39260,10100,8870,15090,5200,25190,-660,0.6416199694345389
2022,cheltenham,Cheltenham Station,0,0,0,0,0,0,0,0,980,700,1680,0,0,0,0,0,280,0.0
2022,cherrybrook,Cherrybrook Station,1480,280,420,310,660,1320,120,610,2680,2520,5200,1760,730,1980,730,3740,160,0.7192307692307692
2022,chester_hill,Chester Hill Station,300,130,200,140,200,300,80,120,780,690,1470,430,340,500,200,930,90,0.6326530612244898
2022,circular_quay,Circular Quay Station,1200,5650,2670,4030,7190,8400,13830,5710,24890,23790,48680,6850,6700,15590,19540,22440,1100,0.4609695973705834
2022,clarendon,Clarendon Station,0,0,0,0,0,0,0,0,50,40,90,0,0,0,0,0,10,0.0
2022,clyde,Clyde Station,210,240,170,120,290,220,100,170,770,750,1520,450,290,510,270,960,20,0.631578947368421
2022,como,Como Station,0,0,0,0,0,0,0,0,460,370,830,0,0,0,0,0,90,0.0
2022,concord_west,Concord West Station,740,280,280,200,370,670,130,310,1520,1460,2980,1020,480,1040,440,2060,60,0.6912751677852349
2022,coniston,Coniston Station,0,0,0,0,0,0,0,0,150,140,290,0,0,0,0,0,10,0.0
2022,corrimal,Corrimal Station,0,0,0,0,0,0,0,0,110,80,190,0,0,0,0,0,30,0.0
2022,cronulla,Cronulla Station,630,280,440,450,390,610,180,220,1640,1560,3200,910,890,1000,400,1910,80,0.596875
2022,croydon,Croydon Station,940,230,320,230,450,790,110,340,1820,1590,3410,1170,550,1240,450,2410,230,0.7067448680351907
2022,dapto,Dapto Station,0,0,0,0,0,0,0,0,350,310,660,0,0,0,0,0,40,0.0
2022,denistone,Denistone Station,0,0,0,0,0,0,0,0,350,320,670,0,0,0,0,0,30,0.0
2022,domestic,Domestic Station,1710,1890,2290,1810,1790,1820,1440,590,7230,6110,13340,3600,4100,3610,2030,7210,1120,0.54047976011994
2022,doonside,Doonside Station,1090,120,320,260,250,950,210,350,1870,1680,3550,1210,580,1200,560,2410,190,0.6788732394366197
2022,dulwich_hill,Dulwich Hill Station,900,200,310,210,410,700,150,380,1770,1490,3260,1100,520,1110,530,2210,280,0.6779141104294478
2022,dundas,Dundas Station,0,0,0,0,0,0,0,0,60,60,120,0,0,0,0,0,0,0.0
2022,east_hills,East Hills Station,320,60,120,90,90,250,50,90,580,490,1070,380,210,340,140,720,90,0.6728971962616822
2022,east_richmond,East Richmond Station,0,0,0,0,0,0,0,0,140,160,300,0,0,0,0,0,-20,0.0
2022,eastwood,Eastwood Station,1840,700,1310,1160,1200,2110,500,940,4850,4910,9760,2540,2470,3310,1440,5850,-60,0.5993852459016393
2022,edgecliff,Edgecliff Station,2240,2130,1330,1210,2380,2170,590,830,6540,6340,12880,4370,2540,4550,1420,8920,200,0.6925465838509317
2022,edmondson_park,Edmondson Park Station,1420,120,270,240,330,1410,310,580,2330,2350,4680,1540,510,1740,890,3280,-20,0.7008547008547008
2022,emu_plains,Emu Plains Station,450,90,90,80,140,430,80,110,760,710,1470,540,170,570,190,1110,50,0.7551020408163265
2022,engadine,Engadine Station,520,140,150,170,160,420,90,110,920,840,1760,660,320,580,200,1240,80,0.7045454545454546
2022,epping,Epping Station,4650,1260,1800,1320,2150,4650,690,1920,9290,9150,18440,5910,3120,6800,2610,12710,140,0.6892624728850325
2022,erskineville,Erskineville Station,1040,220,310,220,450,780,190,450,1990,1670,3660,1260,530,1230,640,2490,320,0.680327868852459
2022,fairfield,Fairfield Station,1670,740,1190,1110,1190,1690,560,890,4610,4430,9040,2410,2300,2880,1450,5290,180,0.5851769911504425
2022,fairy_meadow,Fairy Meadow Station,0,0,0,0,0,0,0,0,60,60,120,0,0,0,0,0,0,0.0
2022,fassifern,Fassifern Station,0,0,0,0,0,0,0,0,270,210,480,0,0,0,0,0,60,0.0
2022,faulconbridge,Faulconbridge Station,0,0,0,0,0,0,0,0,60,60,120,0,0,0,0,0,0,0.0
