station_flow_id,year,station_id,station_name,morning_entries,morning_exits,midday_entries,midday_exits,evening_entries,evening_exits,night_entries,night_exits,total_entries,total_exits,total_flow,morning_total_flow,midday_total_flow,evening_total_flow,night_total_flow,peak_total_flow,entry_exit_imbalance,bottleneck_score,stop_lat,stop_lon,region,pressure_category
2023_canterbury,2023,canterbury,Canterbury Station,1040,160,440,260,430,870,270,690,2180,1980,4160,1200,700,1300,960,2500,200,0.6009615384615384,-33.91208682,151.11873137,Northern Sydney,Medium Peak Pressure
2023_cardiff,2023,cardiff,Cardiff Station,300,80,150,140,110,260,120,110,680,590,1270,380,290,370,230,750,90,0.5905511811023622,-32.94142086,151.66266152,Eastern Sydney,Medium Peak Pressure
2023_caringbah,2023,caringbah,Caringbah Station,1150,590,510,410,680,1030,200,340,2540,2370,4910,1740,920,1710,540,3450,170,0.7026476578411406,-34.04157831,151.12202571,Northern Sydney,High Peak Pressure
2023_carlingford,2023,carlingford,Carlingford Station,0,0,0,0,0,0,0,0,60,60,120,0,0,0,0,0,0,0.0,,,Unmatched / Unknown,Low Peak Pressure
2023_carlton,2023,carlton,Carlton Station,1400,120,460,350,370,1180,230,610,2460,2260,4720,1520,810,1550,840,3070,200,0.6504237288135594,-33.96824293,151.12450153,Northern Sydney,Medium Peak Pressure
2023_carramar,2023,carramar,Carramar Station,220,40,130,90,90,220,80,90,520,440,960,260,220,310,170,570,80,0.59375,-33.88445193,150.96098356,Western Sydney,Medium Peak Pressure
2023_castle_hill,2023,castle_hill,Castle Hill Station,1510,1420,1160,1110,2000,2130,490,610,5160,5270,10430,2930,2270,4130,1100,7060,-110,0.6768935762224353,-33.73162575,151.00728849,Western Sydney,Medium Peak Pressure
2023_casula,2023,casula,Casula Station,140,50,80,60,80,140,40,60,340,310,650,190,140,220,100,410,30,0.6307692307692307,-33.95021052,150.91182891,Western Sydney,Medium Peak Pressure
2023_central,2023,central,Central Station,7780,31480,13860,17880,32330,15970,15970,7430,69940,72760,142700,39260,31740,48300,23400,87560,-2820,0.6135949544498949,-33.88402424,151.20620308,Sydney CBD,Medium Peak Pressure
2023_chatswood,2023,chatswood,Chatswood Station,4790,7600,5140,5740,10300,8580,3680,3040,23910,24960,48870,12390,10880,18880,6720,31270,-1050,0.6398608553304685,-33.79723668,151.18093364,Southern Sydney,Medium Peak Pressure
2023_cheltenham,2023,cheltenham,Cheltenham Station,0,0,0,0,0,0,0,0,960,800,1760,0,0,0,0,0,160,0.0,-33.75561151,151.07845967,Southern Sydney,Low Peak Pressure
2023_cherrybrook,2023,cherrybrook,Cherrybrook Station,1850,380,600,450,880,1660,170,780,3500,3270,6770,2230,1050,2540,950,4770,230,0.7045790251107829,-33.73665917,151.03199446,Western Sydney,High Peak Pressure
2023_chester_hill,2023,chester_hill,Chester Hill Station,400,160,200,150,220,380,90,150,910,840,1750,560,350,600,240,1160,70,0.6628571428571428,-33.8836589,151.0002517,Western Sydney,Medium Peak Pressure
2023_circular_quay,2023,circular_quay,Circular Quay Station,2000,7190,3180,5620,8750,8680,16580,8530,30510,30020,60530,9190,8800,17430,25110,26620,490,0.4397819263175285,-33.86135094,151.21081302,Sydney CBD,Low Peak Pressure
2023_clarendon,2023,clarendon,Clarendon Station,0,0,0,0,0,0,0,0,60,60,120,0,0,0,0,0,0,0.0,-33.60858478,150.78789489,Western Sydney,Low Peak Pressure
2023_clyde,2023,clyde,Clyde Station,270,300,220,140,340,270,130,220,960,930,1890,570,360,610,350,1180,30,0.6243386243386243,-33.83595319,151.01694198,Western Sydney,Medium Peak Pressure
2023_como,2023,como,Como Station,0,0,0,0,0,0,0,0,600,510,1110,0,0,0,0,0,90,0.0,-34.00461939,151.06824108,Northern Sydney,Low Peak Pressure
2023_concord_west,2023,concord_west,Concord West Station,970,140,320,250,330,840,140,420,1760,1650,3410,1110,570,1170,560,2280,110,0.6686217008797654,-33.84860505,151.08562376,Northern Sydney,Medium Peak Pressure
2023_coniston,2023,coniston,Coniston Station,0,0,0,0,0,0,0,0,210,200,410,0,0,0,0,0,10,0.0,-34.43783563,150.88520162,Western Sydney,Low Peak Pressure
